Author ID,Date,Date Count
4,2021 Mar,7
4,2021 May,7
4,2021 Nov,9
4,2021 Oct,11
4,2021 Sep,9
4,2022 Apr,7
4,2022 Aug,7
4,2022 Dec,5
4,2022 Feb,8
4,2022 Jan,7
4,2022 Jul,9
4,2022 Jun,5
4,2022 Mar,5
4,2022 May,5
4,2022 Nov,7
4,2022 Oct,7
4,2022 Sep,7
4,2023 Apr,13
4,2023 Aug,10
4,2023 Dec,8
4,2023 Feb,8
4,2023 Jan,10
4,2023 Jul,9
4,2023 Jun,9
4,2023 Mar,2
4,2023 May,10
4,2023 Nov,10
4,2023 Oct,10
4,2023 Sep,10
4,2024 Apr,12
4,2024 Feb,12
4,2024 Jan,11
4,2024 Mar,10
4,2024 May,5
5,2024 Apr,10
5,2024 Feb,13
5,2024 Jan,2
5,2024 Mar,4
5,2024 May,2
6,2020 Mar,1
6,2021 Aug,1
6,2021 Dec,7
6,2021 Nov,3
6,2021 Oct,1
6,2021 Sep,3
6,2022 Apr,4
6,2022 Aug,12
6,2022 Dec,17
6,2022 Feb,8
6,2022 Jan,11
6,2022 Jul,9
6,2022 Jun,11
6,2022 Mar,14
6,2022 May,9
6,2022 Nov,10
6,2022 Oct,9
6,2022 Sep,8
6,2023 Apr,9
6,2023 Aug,6
6,2023 Dec,10
6,2023 Feb,2
6,2023 Jan,9
6,2023 Jul,4
6,2023 Jun,10
6,2023 Mar,9
6,2023 May,10
6,2023 Nov,4
6,2023 Oct,8
6,2023 Sep,6
6,2024 Feb,3
6,2024 Jan,8
6,2024 May,4
7,2023 Apr,14
7,2023 Aug,13
7,2023 Dec,8
7,2023 Feb,9
7,2023 Jan,3
7,2023 Jul,7
7,2023 Jun,11
7,2023 Mar,13
7,2023 May,17
7,2023 Nov,8
7,2023 Oct,10
7,2023 Sep,9
7,2024 Apr,8
7,2024 Feb,9
7,2024 Jan,11
7,2024 Mar,8
7,2024 May,8
8,2022 Apr,6
8,2022 Aug,8
8,2022 Dec,5
8,2022 Jul,15
8,2022 Jun,9
8,2022 May,7
8,2022 Nov,10
8,2022 Oct,10
8,2022 Sep,5
8,2023 Apr,8
8,2023 Aug,6
8,2023 Dec,2
8,2023 Feb,7
8,2023 Jan,10
8,2023 Jul,4
8,2023 Jun,11
8,2023 Mar,13
8,2023 May,11
8,2023 Nov,6
8,2023 Oct,6
8,2023 Sep,7
8,2024 Apr,8
8,2024 Feb,8
8,2024 Jan,9
8,2024 Mar,6
8,2024 May,4
9,2020 Apr,1
9,2020 Dec,1
9,2020 Jul,1
9,2021 Apr,1
9,2021 Aug,2
9,2021 Dec,2
9,2021 Feb,1
9,2021 Jul,1
9,2021 Mar,3
9,2021 May,1
9,2021 Nov,1
9,2021 Oct,2
9,2021 Sep,1
9,2022 Aug,1
9,2022 Dec,2
9,2022 Feb,1
9,2022 Jul,1
9,2022 Jun,2
9,2022 Mar,1
9,2022 May,2
9,2023 Apr,1
9,2023 Aug,2
9,2023 Dec,1
9,2023 Jan,1
9,2023 Jul,1
9,2023 Jun,1
9,2023 Mar,3
9,2023 May,1
9,2023 Oct,1
9,2024 Apr,2
9,2024 Jan,2
9,2024 May,1
10,2020 Apr,3
10,2020 Aug,3
10,2020 Dec,3
10,2020 Feb,3
10,2020 Jul,3
10,2020 Jun,3
10,2020 Mar,3
10,2020 May,4
10,2020 Nov,3
10,2020 Oct,4
10,2020 Sep,3
10,2021 Apr,3
10,2021 Aug,3
10,2021 Dec,4
10,2021 Feb,3
10,2021 Jan,3
10,2021 Jul,3
10,2021 Jun,3
10,2021 Mar,3
10,2021 May,3
10,2021 Nov,3
10,2021 Oct,3
10,2021 Sep,3
10,2022 Apr,1
10,2022 Aug,1
10,2022 Dec,1
10,2022 Feb,1
10,2022 Jan,1
10,2022 Jul,1
10,2022 Jun,1
10,2022 Mar,1
10,2022 May,1
10,2022 Nov,1
10,2022 Oct,1
10,2022 Sep,1
10,2023 Apr,1
10,2023 Aug,1
10,2023 Dec,1
10,2023 Feb,1
10,2023 Jan,1
10,2023 Jul,1
10,2023 Jun,1
10,2023 Mar,1
10,2023 May,1
10,2023 Nov,2
10,2023 Sep,1
10,2024 Apr,1
10,2024 Jan,1
10,2024 Mar,2
10,2024 May,1
11,2023 Apr,10
11,2023 Aug,8
11,2023 Dec,5
11,2023 Jul,9
11,2023 Jun,11
11,2023 May,4
11,2023 Nov,9
11,2023 Oct,13
11,2023 Sep,9
11,2024 Apr,8
11,2024 Feb,2
11,2024 Jan,9
11,2024 Mar,12
11,2024 May,6
12,2020 Jul,1
12,2020 Mar,1
12,2020 Nov,1
12,2021 Aug,1
12,2021 Jan,2
12,2021 Mar,2
12,2021 May,1
12,2022 Aug,1
12,2022 Dec,1
12,2022 Jul,1
12,2022 Mar,2
12,2022 May,1
12,2022 Oct,1
12,2022 Sep,1
12,2023 Aug,1
12,2023 Dec,1
12,2023 Jun,1
12,2023 Mar,1
12,2023 Nov,3
12,2023 Sep,3
12,2024 Apr,2
12,2024 Feb,1
12,2024 Jan,1
12,2024 Mar,1
12,2024 May,1
13,2023 Apr,10
13,2023 Aug,3
13,2023 Dec,1
13,2023 Feb,9
13,2023 Jan,4
13,2023 Jul,5
13,2023 Jun,9
13,2023 Mar,13
13,2023 May,7
13,2023 Nov,12
13,2023 Oct,11
13,2023 Sep,3
13,2024 Apr,7
13,2024 Feb,5
13,2024 Jan,7
13,2024 Mar,10
13,2024 May,1
14,2020 Apr,3
14,2020 Aug,1
14,2020 Feb,1
14,2020 Jun,1
14,2020 Mar,4
14,2020 May,3
14,2020 Nov,2
14,2020 Oct,1
14,2020 Sep,1
14,2021 Apr,2
14,2021 Aug,3
14,2021 Dec,4
14,2021 Feb,3
14,2021 Jan,2
14,2021 Jul,1
14,2021 Jun,5
14,2021 Mar,1
14,2021 May,2
14,2021 Oct,2
14,2021 Sep,6
14,2022 Apr,3
14,2022 Aug,1
14,2022 Dec,3
14,2022 Feb,1
14,2022 Jan,2
14,2022 Jul,1
14,2022 Jun,2
14,2022 Mar,1
14,2022 May,2
14,2022 Oct,2
14,2022 Sep,1
14,2023 Apr,1
14,2023 Dec,2
14,2023 Feb,4
14,2023 Jan,1
14,2023 Jul,1
14,2023 Mar,5
14,2023 May,5
14,2023 Oct,1
14,2023 Sep,1
14,2024 Apr,1
14,2024 May,1
15,2020 Apr,8
15,2020 Aug,4
15,2020 Dec,5
15,2020 Feb,6
15,2020 Jul,5
15,2020 Jun,3
15,2020 Mar,6
15,2020 May,8
15,2020 Nov,3
15,2020 Oct,3
15,2020 Sep,8
15,2021 Apr,6
15,2021 Aug,4
15,2021 Dec,1
15,2021 Feb,4
15,2021 Jan,3
15,2021 Jul,5
15,2021 Jun,5
15,2021 Mar,2
15,2021 May,8
15,2021 Nov,3
15,2021 Oct,3
15,2021 Sep,6
15,2022 Aug,2
15,2022 Dec,1
15,2022 Jan,1
15,2022 Jul,2
15,2022 Oct,1
15,2023 Apr,1
15,2023 Feb,2
15,2023 Jul,1
15,2023 Jun,1
15,2023 Nov,2
15,2023 Sep,2
15,2024 Apr,1
16,2020 Aug,1
16,2020 Jul,1
16,2020 Mar,1
16,2020 May,2
16,2020 Sep,2
16,2021 Apr,1
16,2021 Feb,1
16,2021 Jul,1
16,2021 Mar,2
16,2022 Feb,1
16,2022 Jan,1
16,2022 Jun,1
16,2022 Mar,1
16,2022 Nov,3
16,2022 Oct,3
16,2022 Sep,3
16,2023 Feb,1
16,2023 Jul,1
16,2023 May,1
16,2023 Sep,2
16,2024 Jan,1
16,2024 Mar,1
17,2020 Apr,1
17,2020 Aug,1
17,2020 Dec,1
17,2020 Oct,4
17,2021 Apr,1
17,2021 Aug,1
17,2021 Dec,6
17,2021 Jul,2
17,2021 Jun,2
17,2021 Nov,4
17,2021 Oct,1
17,2021 Sep,3
17,2022 Aug,1
17,2022 Dec,1
17,2022 Jul,1
17,2022 Oct,1
17,2022 Sep,2
17,2023 Jun,1
17,2023 Nov,1
17,2023 Oct,1
17,2023 Sep,2
17,2024 Jan,2
18,2023 Apr,5
18,2023 Aug,12
18,2023 Dec,5
18,2023 Feb,8
18,2023 Jan,5
18,2023 Jul,5
18,2023 Jun,4
18,2023 Mar,6
18,2023 May,6
18,2023 Nov,8
18,2023 Oct,6
18,2023 Sep,6
18,2024 Jan,1
19,2020 Dec,1
19,2020 Jun,2
19,2020 Mar,1
19,2020 Nov,1
19,2020 Oct,1
19,2021 Apr,2
19,2021 Aug,1
19,2021 Dec,1
19,2021 Feb,1
19,2021 Jan,3
19,2021 Jun,1
19,2021 Mar,3
19,2021 May,6
19,2021 Oct,3
19,2022 Dec,1
19,2022 Jan,1
19,2022 Sep,1
19,2023 Oct,1
20,2020 Apr,10
20,2020 Aug,12
20,2020 Dec,5
20,2020 Feb,13
20,2020 Jan,1
20,2020 Jul,11
20,2020 Jun,9
20,2020 Mar,11
20,2020 May,11
20,2020 Nov,7
20,2020 Oct,11
20,2020 Sep,10
20,2021 Apr,9
20,2021 Aug,6
20,2021 Dec,6
20,2021 Feb,9
20,2021 Jan,11
20,2021 Jul,6
20,2021 Jun,5
20,2021 Mar,7
20,2021 May,2
20,2021 Nov,6
20,2021 Oct,9
20,2021 Sep,15
20,2022 Jan,2
20,2022 Jul,3
20,2023 Aug,2
21,2022 Apr,3
21,2022 Aug,8
21,2022 Dec,1
21,2022 Jul,10
21,2022 Jun,8
21,2022 May,6
21,2022 Nov,3
21,2022 Oct,7
21,2022 Sep,12
21,2023 Feb,1
21,2023 Jan,2
22,2020 Dec,4
22,2020 Jul,1
22,2020 Mar,2
22,2020 Nov,1
22,2020 Sep,1
22,2021 Apr,1
22,2021 Aug,4
22,2021 Dec,2
22,2021 Feb,1
22,2021 Jun,1
22,2021 Mar,2
22,2021 May,2
22,2021 Nov,2
22,2021 Sep,1
22,2022 Aug,3
22,2022 Jul,1
22,2022 Mar,1
22,2023 Jan,1
23,2020 Apr,4
23,2020 Aug,7
23,2020 Dec,5
23,2020 Feb,10
23,2020 Jul,6
23,2020 Jun,8
23,2020 Mar,6
23,2020 May,5
23,2020 Nov,2
23,2020 Oct,5
23,2020 Sep,6
23,2021 Aug,9
23,2021 Feb,2
23,2021 Jan,4
23,2021 Jul,11
23,2021 Jun,4
23,2021 Mar,4
23,2021 May,8
23,2021 Oct,2
23,2021 Sep,10
23,2022 Apr,6
23,2022 Aug,3
23,2022 Feb,3
23,2022 Jul,4
23,2022 Jun,12
23,2022 Mar,8
23,2022 May,11
24,2020 Aug,1
24,2020 Dec,2
24,2020 Feb,2
24,2020 Jun,1
24,2020 Mar,1
24,2020 Nov,2
24,2020 Oct,3
24,2020 Sep,2
24,2021 Apr,7
24,2021 Aug,9
24,2021 Dec,8
24,2021 Feb,5
24,2021 Jan,5
24,2021 Jul,9
24,2021 Jun,2
24,2021 Mar,4
24,2021 May,7
24,2021 Nov,4
24,2021 Oct,10
24,2021 Sep,6
24,2022 Feb,9
24,2022 Jan,6
24,2022 Mar,6
25,2020 Apr,11
25,2020 Aug,5
25,2020 Dec,12
25,2020 Feb,8
25,2020 Jul,13
25,2020 Jun,16
25,2020 Mar,11
25,2020 May,10
25,2020 Nov,13
25,2020 Oct,6
25,2020 Sep,6
25,2021 Apr,7
25,2021 Aug,9
25,2021 Dec,4
25,2021 Feb,7
25,2021 Jan,5
25,2021 Jul,12
25,2021 Jun,12
25,2021 Mar,7
25,2021 May,7
25,2021 Nov,7
25,2021 Oct,3
25,2021 Sep,6
25,2022 Jan,1
26,2020 Apr,4
26,2020 Aug,5
26,2020 Dec,4
26,2020 Feb,5
26,2020 Jul,4
26,2020 Jun,4
26,2020 Mar,4
26,2020 May,5
26,2020 Nov,4
26,2020 Oct,5
26,2020 Sep,4
26,2021 Apr,4
26,2021 Aug,4
26,2021 Dec,4
26,2021 Feb,4
26,2021 Jan,5
26,2021 Jul,5
26,2021 Jun,4
26,2021 Mar,4
26,2021 May,5
26,2021 Nov,4
26,2021 Oct,5
26,2021 Sep,4
27,2020 Apr,3
27,2020 Aug,1
27,2020 Feb,1
27,2020 Jul,3
27,2020 Jun,2
27,2020 Mar,3
27,2020 May,5
27,2020 Nov,2
27,2020 Oct,2
27,2021 Apr,2
27,2021 Aug,2
27,2021 Dec,1
27,2021 Feb,1
27,2021 Jan,1
27,2021 Jul,2
27,2021 Jun,3
27,2021 Mar,1
27,2021 May,1
27,2021 Oct,1
27,2021 Sep,1
28,2020 Apr,2
28,2020 Aug,3
28,2020 Dec,3
28,2020 Feb,3
28,2020 Jul,2
28,2020 Jun,2
28,2020 Mar,2
28,2020 May,2
28,2020 Nov,2
28,2020 Oct,2
28,2020 Sep,2
28,2021 Apr,2
28,2021 Aug,2
28,2021 Dec,1
28,2021 Feb,2
28,2021 Jan,2
28,2021 Jul,2
28,2021 Jun,2
28,2021 Mar,2
28,2021 May,2
28,2021 Nov,2
28,2021 Oct,2
28,2021 Sep,2
29,2020 Apr,1
29,2020 Aug,4
29,2020 Dec,4
29,2020 Feb,1
29,2020 Jul,1
29,2020 Jun,2
29,2020 Mar,1
29,2020 Nov,2
29,2020 Oct,3
29,2020 Sep,4
29,2021 Apr,3
29,2021 Feb,3
29,2021 Jan,4
29,2021 Jul,2
29,2021 Mar,3
29,2021 May,3
29,2021 Oct,2
29,2021 Sep,1
