section,words,nums
103,change,188
103,found,187
103,death,187
103,billion,187
103,capital,183
103,four,183
103,attack,182
103,diplomatic,182
103,reports,180
103,crackdown,180
103,Moon,180
103,push,178
103,protest,176
103,claims,176
103,climate,174
103,biggest,174
103,democracy,174
103,five,173
103,held,170
103,use,170
103,despite,170
103,warns,169
103,weeks,169
103,Navy,169
103,waters,168
103,campaign,167
103,tests,167
103,another,167
103,support,167
103,Secretary,166
103,sources,166
103,American,166
103,meet,165
103,Defense,165
103,concerns,165
103,largest,165
103,local,165
103,ballistic,164
103,thousands,163
103,launch,163
103,seeks,163
103,diplomat,163
103,presidential,163
103,nations,162
103,office,161
103,activists,161
103,saying,161
103,told,161
103,hold,160
103,become,160
103,expected,159
103,following,158
103,accused,156
103,return,156
103,seen,155
103,bid,153
103,Ministry,152
103,rare,151
103,workers,151
103,shows,151
103,toward,151
103,carrier,149
103,control,148
103,exercises,147
103,faces,147
103,Modi,146
103,decades,146
103,coast,144
103,troops,144
103,prodemocracy,144
103,Nations,144
103,Rodrigo,144
103,hit,143
103,prime,143
103,islands,142
103,early,142
103,warned,141
103,allies,141
103,risk,140
103,ban,139
103,social,139
103,Xinjiang,139
103,junta,138
103,fight,138
103,response,136
103,warning,135
103,number,135
103,close,135
103,southern,134
103,family,134
103,Indonesian,134
103,corruption,134
103,Ukraine,133
103,nearly,133
103,arms,133
103,envoy,133
103,administration,132
103,ago,132
103,children,132
103,away,131
103,financial,131
103,boost,131
103,vaccine,131
103,building,130
103,record,130
103,site,129
103,life,129
103,six,129
103,seek,129
103,online,128
103,groups,128
103,taking,127
103,past,127
103,possible,127
103,Foreign,127
103,anniversary,126
103,Bangladesh,125
103,members,125
103,deadly,125
103,powerful,125
103,third,125
103,space,125
103,sent,124
103,earlier,124
103,residents,123
103,Taipei,123
103,data,123
103,relations,123
103,sea,123
103,House,123
103,missing,123
103,launches,122
103,much,122
103,far,122
103,army,120
103,rising,120
103,future,120
103,call,120
103,rise,120
103,spy,119
103,Manila,119
103,yet,119
103,yearold,119
103,water,118
103,late,118
103,Park,118
103,open,117
103,wave,117
103,rule,117
103,role,117
103,Malaysian,117
103,left,116
103,announced,116
103,satellite,116
103,outside,115
103,coup,115
103,fires,115
103,population,115
103,Suu,115
103,Kyi,115
103,detained,115
103,trip,115
103,elections,115
103,arrested,115
103,fears,115
103,put,115
103,parliament,114
103,challenge,114
103,peace,114
103,newspaper,114
103,head,113
103,high,112
103,seeking,112
103,spread,112
103,issues,112
103,several,112
103,naval,112
103,rules,112
103,staterun,112
103,hundreds,111
103,maritime,111
103,making,111
103,regional,111
103,potential,110
103,without,110
103,fire,109
103,term,109
103,due,109
103,within,109
103,dead,108
103,decision,108
103,using,107
103,moves,107
103,influence,107
103,East,106
103,intelligence,106
103,vote,106
103,area,106
103,Wuhan,106
103,action,105
103,took,105
103,strategic,105
103,probe,105
103,attacks,105
103,ship,105
103,Air,105
103,Taiwanese,104
103,fighter,104
103,freedom,104
103,denuclearization,104
103,food,103
103,build,103
103,leadership,103
103,infections,103
103,Pompeo,103
103,Mike,103
103,violence,102
103,aimed,102
103,Koreans,102
103,increasingly,102
103,small,102
103,prison,102
103,whether,102
103,came,101
103,worst,101
103,battle,101
103,lockdown,101
